date,sales
2024-09-13,157.81
2024-09-14,132.13
2024-09-15,142.65
2024-09-16,155.69
2024-09-17,152.79
2024-09-18,162.0
2024-09-19,128.22
2024-09-20,133.15
2024-09-21,131.87
2024-09-22,127.87
2024-09-23,164.09
2024-09-24,153.09
2024-09-25,165.94
2024-09-26,164.6
2024-09-27,164.36
2024-09-28,135.53
2024-09-29,161.43
2024-09-30,165.96
2024-10-01,171.53
2024-10-02,187.42
2024-10-03,178.27
2024-10-04,159.51
2024-10-05,156.98
2024-10-06,156.02
2024-10-07,171.11
2024-10-08,186.21
2024-10-09,195.17
2024-10-10,162.87
2024-10-11,175.05
2024-10-12,132.4
2024-10-13,147.84
2024-10-14,163.72
2024-10-15,171.39
2024-10-16,165.73
2024-10-17,159.92
2024-10-18,143.99
2024-10-19,134.89
2024-10-20,149.52
2024-10-21,157.96
2024-10-22,162.36
2024-10-23,179.44
2024-10-24,168.36
2024-10-25,161.42
2024-10-26,154.05
2024-10-27,147.57
2024-10-28,163.75
2024-10-29,188.15
2024-10-30,191.98
2024-10-31,180.59
2024-11-01,170.12
2024-11-02,172.36
2024-11-03,160.96
2024-11-04,182.01
2024-11-05,187.53
2024-11-06,189.67
2024-11-07,191.08
2024-11-08,174.54
2024-11-09,164.74
2024-11-10,169.81
2024-11-11,169.4
2024-11-12,184.55
2024-11-13,177.74
2024-11-14,173.11
2024-11-15,155.13
2024-11-16,147.82
2024-11-17,154.07
2024-11-18,154.28
2024-11-19,189.51
2024-11-20,168.27
2024-11-21,159.56
2024-11-22,166.97
2024-11-23,157.7
2024-11-24,161.29
2024-11-25,175.26
2024-11-26,184.16
2024-11-27,182.27
2024-11-28,184.15
2024-11-29,167.14
2024-11-30,174.02
2024-12-01,169.38
2024-12-02,176.75
2024-12-03,193.17
2024-12-04,202.16
2024-12-05,186.01
2024-12-06,170.3
2024-12-07,169.7
2024-12-08,171.27
2024-12-09,175.4
2024-12-10,185.64
2024-12-11,192.3
2024-12-12,168.89
2024-12-13,154.43
2024-12-14,150.23
2024-12-15,155.84
2024-12-16,170.75
2024-12-17,191.16
2024-12-18,188.9
2024-12-19,172.87
2024-12-20,161.63
2024-12-21,146.72
2024-12-22,158.93
2024-12-23,170.27
2024-12-24,188.92
2024-12-25,184.83
2024-12-26,189.78
2024-12-27,187.17
2024-12-28,168.13
2024-12-29,177.14
2024-12-30,192.95
